,Circuit,Width,Depth,MaxDens,AvgDens,NoP-X,NoP-Z,TNo-P,NoH,%SpposQ,NoOtherSG,TNoSQG,TNoCSQG,NoSWAP,NoCNOT,%QInCNOT,AvgCNOT,MaxCNOT,NoToff,%QInToff,AvgToff,MaxToff,NoGates,NoCGates,%SGates,NoOr,NoCOr,%QInOr,%QInCOr,AvgOrD,MaxOrD,NoM,%QM,cluster,TotalTime,Minutes,Seconds,Num_Correct,Num_Incorrect,Num_Idk,Num_NotAnswered,CorrectnessEfficiency,IncorrectnessEfficiency,IdkEfficiency,NotAnsweredEfficiency
30,48,5,14,3,1.0714,4,0,4,0,0.0,5,9,0,0,6,1.0,1.2,2,0,0.0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1.0,3,7.066666666666666,7,4,5,0,1,0,0.7075471698113208,0.0,0.14150943396226415,0.0
31,48,5,14,3,1.0714,4,0,4,0,0.0,5,9,0,0,6,1.0,1.2,2,0,0.0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1.0,3,8.166666666666666,8,10,5,1,0,0,0.6122448979591837,0.12244897959183675,0.0,0.0
32,28,4,10,4,1.5,1,0,1,3,0.75,3,7,7,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,0.75,3,2.3,2,18,2,2,2,0,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.0
33,28,4,10,4,1.5,1,0,1,3,0.75,3,7,7,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,0.75,3,22.416666666666668,22,25,4,1,1,0,0.17843866171003717,0.04460966542750929,0.04460966542750929,0.0
34,28,4,10,4,1.5,1,0,1,3,0.75,3,7,7,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,0.75,3,23.4,23,24,1,3,0,2,0.042735042735042736,0.12820512820512822,0.0,0.08547008547008547
35,28,4,10,4,1.5,1,0,1,3,0.75,3,7,7,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,0.75,3,12.1,12,6,0,5,1,0,0.0,0.4132231404958678,0.08264462809917356,0.0
36,28,4,10,4,1.5,1,0,1,3,0.75,3,7,7,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,0.75,3,12.633333333333333,12,38,5,1,0,0,0.395778364116095,0.079155672823219,0.0,0.0
37,28,4,10,4,1.5,1,0,1,3,0.75,3,7,7,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,0.75,3,7.966666666666667,7,58,2,2,2,0,0.2510460251046025,0.2510460251046025,0.2510460251046025,0.0
38,28,4,10,4,1.5,1,0,1,3,0.75,3,7,7,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,0.75,3,14.583333333333334,14,35,5,1,0,0,0.34285714285714286,0.06857142857142857,0.0,0.0
39,28,4,10,4,1.5,1,0,1,3,0.75,3,7,7,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,0.75,3,17.95,17,57,2,1,3,0,0.11142061281337048,0.05571030640668524,0.1671309192200557,0.0
40,28,4,10,4,1.5,1,0,1,3,0.75,3,7,7,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,0.75,3,15.033333333333333,15,2,5,0,0,1,0.3325942350332594,0.0,0.0,0.06651884700665188
41,28,4,10,4,1.5,1,0,1,3,0.75,3,7,7,0,0,0.0,0.0,0,0,0.0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,0.75,3,4.616666666666667,4,37,2,0,4,0,0.43321299638989164,0.0,0.8664259927797833,0.0
42,4,4,5,4,2.4,1,0,1,7,0.0,3,11,0,0,0,0.0,0.0,0,0,0.0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,0.75,4,7.733333333333333,7,44,4,2,0,0,0.5172413793103449,0.25862068965517243,0.0,0.0
43,4,4,5,4,2.4,1,0,1,7,0.0,3,11,0,0,0,0.0,0.0,0,0,0.0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,0.75,4,13.75,13,45,4,2,0,0,0.2909090909090909,0.14545454545454545,0.0,0.0
44,4,4,5,4,2.4,1,0,1,7,0.0,3,11,0,0,0,0.0,0.0,0,0,0.0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,0.75,4,6.033333333333333,6,2,4,2,0,0,0.6629834254143646,0.3314917127071823,0.0,0.0
45,4,4,5,4,2.4,1,0,1,7,0.0,3,11,0,0,0,0.0,0.0,0,0,0.0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,0.75,4,10.05,10,3,6,0,0,0,0.5970149253731343,0.0,0.0,0.0
46,5,3,6,3,2.3333,0,0,0,9,1.0,3,12,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1.0,4,11.133333333333333,11,8,5,1,0,0,0.44910179640718567,0.08982035928143713,0.0,0.0
47,5,3,6,3,2.3333,0,0,0,9,1.0,3,12,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1.0,4,11.016666666666667,11,1,3,3,0,0,0.2723146747352496,0.2723146747352496,0.0,0.0
48,5,3,6,3,2.3333,0,0,0,9,1.0,3,12,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1.0,4,5.416666666666667,5,25,5,0,1,0,0.923076923076923,0.0,0.1846153846153846,0.0
49,5,3,6,3,2.3333,0,0,0,9,1.0,3,12,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1.0,4,4.333333333333333,4,20,0,0,6,0,0.0,0.0,1.3846153846153848,0.0
50,5,3,6,3,2.3333,0,0,0,9,1.0,3,12,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1.0,4,3.25,3,15,3,1,2,0,0.9230769230769231,0.3076923076923077,0.6153846153846154,0.0
51,5,3,6,3,2.3333,0,0,0,9,1.0,3,12,0,0,0,0.0,0.0,0,0,0.0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1.0,4,6.583333333333333,6,35,6,0,0,0,0.9113924050632912,0.0,0.0,0.0
